epoch,loss,val_loss
0,8.787227805909657,12.150121688842773
1,4.39296854261368,5.778565406799316
2,3.420357228082324,5.0135297775268555
3,3.098534893459744,4.567689418792725
4,2.8767391241164435,3.5286121368408203
0,23.131755275423565,23.123485565185547
1,18.83974954877581,17.457725524902344
2,17.396423856947155,16.04306411743164
3,16.386289463951474,15.238494873046875
4,15.651000279017858,14.703838348388672
0,9.162414238036625,10.511489868164062
1,4.606940054817805,5.740845203399658
2,3.4837098136780753,4.5034308433532715
3,3.1812821061270578,4.461884021759033
4,2.977928617870997,4.003466606140137
5,2.7725369548797607,3.8921191692352295
6,2.5773956625802175,3.7884185314178467
7,2.493183644007123,3.946296453475952
8,2.4475645467213223,3.8737220764160156
9,2.310069236603994,3.950134515762329
10,2.195447235939995,3.2344701290130615
11,2.13011955185542,3.111140727996826
12,2.0165993909987194,3.689863920211792
13,1.981533696689303,3.449118137359619
14,1.924023911385309,3.0998895168304443
15,1.7313429009725176,3.260307550430298
16,1.7419432013375418,3.214388608932495
17,1.7695931952718704,4.191117763519287
18,1.6719130918714735,4.051326274871826
19,1.550277102031405,2.763535499572754
20,1.5721952941682604,3.2324602603912354
21,1.5113673109099979,3.3185946941375732
22,1.6441297352503217,3.6302859783172607
23,1.4710516710129995,3.396848201751709
24,1.4864458009553334,3.6514296531677246
25,1.3955749473496089,3.963773250579834
26,1.4637373065570045,3.8654441833496094
27,1.4186264706414844,2.5720016956329346
28,1.4919549828483945,3.0448570251464844
29,1.3616783663961622,3.692333936691284
30,1.3840629413014367,3.613743305206299
31,1.3208826168756636,3.576413631439209
32,1.2723199834520855,3.7862062454223633
33,1.3902968759006924,2.7454023361206055
34,1.3893759733533102,3.8724560737609863
35,1.2847649453178285,2.879772663116455
36,1.045927355213771,3.229951858520508
37,1.0388688302796985,2.9716062545776367
0,12.816833877563477,14.061746597290039
1,8.53471918106079,9.0426025390625
2,7.345956220626831,7.727579593658447
0,7.815914006233215,9.784330368041992
1,3.4947498726844786,4.629146575927734
2,2.857002999782562,4.554039478302002
3,2.462908490896225,4.188052177429199
4,2.1657087182998658,3.724564552307129
5,1.964656604528427,3.0751965045928955
6,1.8378337383270265,3.7329869270324707
7,1.690830079317093,3.1192309856414795
8,1.5700157392024994,3.507840156555176
9,1.5405680871009826,4.334776401519775
10,1.391498665213585,3.664083480834961
11,1.3724641001224518,2.787775993347168
12,1.3205882596969605,3.6299424171447754
13,1.2803615248203277,3.0417428016662598
14,1.2308914923667909,3.975828170776367
15,1.110513401031494,3.458850622177124
16,1.1418673717975616,3.683385133743286
17,1.1233768141269684,3.284226179122925
18,1.0149377197027207,4.015100002288818
19,1.044772312641144,3.8070085048675537
20,0.9132689714431763,3.0489501953125
21,0.8325419008731842,2.9630987644195557
0,7.975268117200981,9.087325096130371
0,10.90180719595689,34.708587646484375
1,6.114519165263457,10.653897285461426
2,4.793949725811298,7.093222141265869
3,4.175207875943651,4.936781406402588
4,3.739940785077902,4.498730182647705
5,3.607724670148363,4.7173333168029785
6,3.524117624576275,4.8755106925964355
7,3.2962993810691086,3.9725074768066406
8,3.1769853082069983,4.307402610778809
9,3.160209447823319,4.022092819213867
0,8.664133938354196,10.576563835144043
1,4.498768236567673,5.917397499084473
2,3.652232087792702,4.3104248046875
3,3.3159556703660096,3.734895944595337
4,3.092270212543821,3.860152244567871
5,2.9016592462780406,4.243068695068359
6,2.751091334241108,5.0126214027404785
7,2.6696473226269473,4.685182571411133
8,2.600018327259323,4.134152889251709
9,2.4274359115582067,4.172784805297852
0,8.379799638581508,12.349405288696289
1,4.44866695292945,5.133602619171143
2,3.6341058548677316,4.060354232788086
3,3.348689690747307,3.8096401691436768
4,3.1358861819517263,4.097211837768555
5,3.0285864667985045,4.079168796539307
6,2.731792650315368,3.820119857788086
7,2.634844340166999,3.9961016178131104
8,2.6687154695362723,4.526628017425537
9,2.478466659379237,5.058717250823975
0,8.554608285589126,9.04693603515625
1,4.643323764338077,4.863926410675049
2,3.6298051070241093,4.737298965454102
3,3.3405312591849023,4.139434337615967
0,8.517370259368304,8.470956802368164
1,4.724221421676932,5.470400810241699
2,3.699380069751184,4.249342918395996
3,3.4109203770091234,4.068998336791992
4,3.173282086918655,3.763507604598999
5,2.9521205686365515,3.8199620246887207
6,2.7877323278871553,3.7150180339813232
7,2.650593726611832,4.199059009552002
8,2.4721056701141655,3.6805412769317627
9,2.522880486608709,3.7885756492614746
10,2.359320804447804,4.490182399749756
11,2.266754421493382,3.9422943592071533
12,2.315469753533891,4.832347869873047
13,2.135164336047126,4.733367443084717
14,2.002732414088203,4.621484279632568
15,1.9166418259815106,4.867221832275391
16,1.982561553658791,4.918508529663086
17,1.7383874818422262,4.16965389251709
18,1.6477271806383595,4.401048183441162
0,8.497027165125875,8.596481323242188
1,4.616914772848481,5.1021728515625
